Name;Path;Data Type;Value;Comment
ARB_CMD_BLOCKED ;Constant;USInt;5;Команда заблокована — застосований CMD_SET_FORCE
ARB_CMD_INVALID ;Constant;USInt;6;Недійсна команда (CMD_NONE заборонено)
ARB_LOCAL_MANUAL;Constant;USInt;1;Механізм у режимі Local/Manual
ARB_OK;Constant;USInt;0;Успіх
ARB_OWNER_BUSY;Constant;USInt;2;Механізм зайнятий іншим власником
ARB_SLOT_INVALID ;Constant;USInt;4;Недійсний слот
ARB_WRONG_STATUS;Constant;USInt;3;Неправильний статус для команди — не IDLE і не FAULT
CMD_GATE_POS0;Constant;USInt;6;Команда засувці — перейти в положення 0 (закрито)
CMD_GATE_POS1;Constant;USInt;7;Команда засувці — перейти в положення 1 (відкрито)
CMD_NONE;Constant;USInt;0;Немає команди
CMD_RELEASE_OWNER;Constant;USInt;5;Звільнити власника
CMD_RESET;Constant;USInt;3;Скинути аварію
CMD_SET_OWNER_SCADA;Constant;USInt;8;Захопити власника без виконання команди (мета-команда)
CMD_START;Constant;USInt;1;Запустити механізм
CMD_STOP;Constant;USInt;2;Зупинити механізм
FLT_NONE;Constant;Word;0;Немає аварії
FLT_BREAKER;Constant;Word;1;Аварія автомата захисту (BIT0)
FLT_OVERFLOW;Constant;Word;2;Аварія переповнення (BIT1)
FLT_NO_RUNFB;Constant;Word;4;Немає зворотного зв'язку роботи тахо (BIT2)
FLT_ALINGMENT;Constant;Word;8;Аварія вирівнювання норія (BIT3)
FLT_NO_FEEDBACK;Constant;Word;16;Немає зворотного зв'язку контактора (BIT4)
FLT_GATE_MOVE_TIMEOUT;Constant;Word;32;Таймаут переміщення засувки (BIT5)
FLT_GATE_POS_UNKNOWN;Constant;Word;64;Невідома позиція засувки після переміщення (BIT6)
FLT_BOTH_SENSORS;Constant;Word;128;Обидва кінцеві датчики активні одночасно засувка (BIT7)
FLT_STOP_TIMEOUT;Constant;Word;256;Таймаут вибігу при зупинці (BIT8)
FLT_VALVE_MOVE_TIMEOUT;Constant;Word;512;Таймаут переміщення клапана (BIT9)
FLT_VALVE_POS_UNKNOWN;Constant;Word;1024;Невідома позиція клапана після переміщення (BIT10)
FLT_VALVE_MULTIPLE_POS;Constant;Word;2048;Кілька датчиків позиції клапана активні (BIT11)
FLT_INTERLOCK;Constant;Word;4096;Блокування (BIT12)
GATE_AT_POS0;Constant;Int;6;Status_Param засувки — знаходиться в положенні 0
GATE_AT_POS1;Constant;Int;7;Status_Param засувки — знаходиться в положенні 1
